Lake George Water Temp 2020,
7/6/2020,75.76
7/6/2020,75.76
7/6/2020,75.87
7/6/2020,76.32
7/6/2020,76.55
7/6/2020,76.55
7/6/2020,76.44
7/6/2020,76.1
7/6/2020,75.76
7/6/2020,75.65
7/6/2020,75.65
7/6/2020,75.54
7/6/2020,75.54
7/7/2020,75.31
7/7/2020,75.09
7/7/2020,74.97
7/7/2020,74.75
7/7/2020,74.75
7/7/2020,74.75
7/7/2020,74.64
7/7/2020,74.75
7/7/2020,74.75
7/7/2020,74.75
7/7/2020,74.64
7/7/2020,74.75
7/7/2020,74.64
7/7/2020,74.75
7/7/2020,74.86
7/7/2020,74.86
7/7/2020,74.53
7/7/2020,74.41
7/7/2020,74.07
7/7/2020,73.85
7/7/2020,73.51
7/7/2020,73.51
7/7/2020,72.16
7/7/2020,72.5
7/7/2020,72.5
7/7/2020,72.61
7/7/2020,72.72
7/7/2020,72.84
7/7/2020,72.72
7/7/2020,72.5
7/8/2020,71.71
7/8/2020,71.71
7/8/2020,71.71
7/8/2020,71.6
7/8/2020,71.49
7/8/2020,70.81
7/8/2020,69.57
7/8/2020,69.12
7/8/2020,68.79
7/8/2020,67.78
7/8/2020,68
7/8/2020,68.22
7/8/2020,68.68
7/8/2020,68.34
7/8/2020,68.11
7/8/2020,68.22
7/8/2020,68.34
7/8/2020,68.34
7/8/2020,68.68
7/8/2020,69.24
7/8/2020,69.46
7/8/2020,69.12
7/8/2020,69.12
7/8/2020,69.24
7/8/2020,69.12
7/8/2020,68.79
7/8/2020,68.79
7/8/2020,69.24
7/8/2020,69.57
7/8/2020,67.78
7/8/2020,68.9
7/8/2020,68.11
7/8/2020,68.45
7/8/2020,69.01
7/8/2020,69.12
7/9/2020,69.24
7/9/2020,69.24
7/9/2020,69.24
7/9/2020,69.12
7/9/2020,69.24
7/9/2020,69.57
7/9/2020,69.69
7/9/2020,69.8
7/9/2020,70.7
7/9/2020,70.93
7/9/2020,70.93
7/9/2020,70.93
7/9/2020,71.15
7/9/2020,71.26
7/9/2020,71.37
7/9/2020,71.6
7/9/2020,72.05
7/9/2020,72.16
7/9/2020,72.28
7/9/2020,72.16
7/9/2020,71.82
7/9/2020,72.28
7/9/2020,72.28
7/9/2020,72.16
7/9/2020,72.39
7/9/2020,72.5
7/9/2020,72.61
7/9/2020,72.72
7/9/2020,72.5
7/9/2020,72.72
7/9/2020,72.84
7/9/2020,72.95
7/9/2020,73.06
7/9/2020,72.84
7/9/2020,72.95
7/9/2020,72.84
7/9/2020,72.84
7/9/2020,72.84
7/9/2020,72.72
7/9/2020,72.72
7/9/2020,72.61
7/9/2020,72.61
7/10/2020,72.61
7/10/2020,72.61
7/10/2020,72.61
7/10/2020,72.61
7/10/2020,72.5
7/10/2020,72.5
7/10/2020,72.5
7/10/2020,72.72
7/10/2020,72.84
7/10/2020,73.06
7/10/2020,73.06
7/10/2020,73.4
7/10/2020,73.62
7/10/2020,73.74
7/10/2020,73.74
7/10/2020,73.85
7/10/2020,73.85
7/10/2020,74.07
7/10/2020,74.75
7/10/2020,74.75
7/10/2020,74.3
7/10/2020,74.53
7/10/2020,74.19
7/10/2020,74.19
7/10/2020,73.96
7/10/2020,73.85
7/10/2020,73.85
7/10/2020,73.85
7/10/2020,73.85
7/10/2020,73.74
7/10/2020,73.85
7/10/2020,74.07
7/10/2020,73.96
7/10/2020,73.74
7/11/2020,73.62
7/11/2020,73.62
7/11/2020,73.62
7/11/2020,73.51
7/11/2020,73.51
7/11/2020,73.29
7/11/2020,73.4
7/11/2020,73.29
7/11/2020,73.29
7/11/2020,73.29
7/11/2020,73.51
7/11/2020,73.51
7/11/2020,73.74
7/11/2020,73.74
7/11/2020,73.74
7/11/2020,73.85
7/11/2020,73.85
7/11/2020,73.96
7/11/2020,74.41
7/11/2020,74.41
7/11/2020,74.75
7/11/2020,74.53
7/11/2020,74.41
7/11/2020,74.64
7/11/2020,73.85
7/11/2020,73.96
7/11/2020,73.51
7/11/2020,73.4
7/11/2020,73.06
7/11/2020,73.18
7/11/2020,73.74
7/11/2020,73.18
7/11/2020,72.95
7/11/2020,73.18
7/12/2020,72.84
7/12/2020,72.84
7/12/2020,71.94
7/12/2020,72.28
7/12/2020,72.05
7/12/2020,72.16
7/12/2020,72.16
7/12/2020,71.82
7/12/2020,71.94
7/12/2020,71.6
7/12/2020,71.82
7/12/2020,72.61
7/12/2020,72.95
7/12/2020,74.41
7/12/2020,74.64
7/12/2020,74.75
7/12/2020,74.75
7/12/2020,74.75
7/12/2020,74.97
7/12/2020,75.2
7/12/2020,74.86
7/12/2020,75.09
7/12/2020,74.86
7/12/2020,74.53
7/12/2020,74.41
7/12/2020,74.53
7/12/2020,73.96
7/12/2020,73.96
7/13/2020,73.74
7/13/2020,73.29
7/13/2020,73.06
7/13/2020,73.06
7/13/2020,72.95
7/13/2020,72.95
7/13/2020,72.84
7/13/2020,72.84
7/13/2020,73.06
7/13/2020,73.06
7/13/2020,73.29
7/13/2020,73.4
7/13/2020,73.29
7/13/2020,73.85
7/13/2020,74.19
7/13/2020,74.3
7/13/2020,74.41
7/13/2020,74.86
7/13/2020,75.54
7/13/2020,75.87
7/13/2020,75.65
7/13/2020,75.54
7/13/2020,75.54
7/13/2020,75.09
7/13/2020,74.97
7/13/2020,74.97
7/13/2020,74.86
7/14/2020,74.86
7/14/2020,74.75
7/14/2020,74.53
7/14/2020,74.41
7/14/2020,74.53
7/14/2020,74.53
7/14/2020,74.53
7/14/2020,74.41
7/14/2020,74.41
7/14/2020,74.53
7/14/2020,74.3
7/14/2020,74.41
7/14/2020,74.3
7/14/2020,74.41
7/14/2020,74.53
7/14/2020,74.64
7/14/2020,74.86
7/14/2020,75.2
7/14/2020,75.2
7/14/2020,75.2
7/14/2020,75.76
7/14/2020,75.76
7/14/2020,75.76
7/14/2020,75.65
7/14/2020,75.54
7/14/2020,75.65
7/14/2020,75.87
7/14/2020,75.76
7/14/2020,75.76
7/14/2020,75.76
7/14/2020,75.65
7/14/2020,75.76
7/14/2020,75.65
7/14/2020,75.54
7/14/2020,75.54
7/14/2020,75.43
