Provisional,Location,Parameter,Date,Observed
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 7:00:00 PM,62.21
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 8:00:00 PM,62.33
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 9:00:00 PM,62.38
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 10:00:00 PM,62.23
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/6/2020 11:00:00 PM,62.19
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 12:00:00 AM,62.04
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 1:00:00 AM,61.94
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 2:00:00 AM,61.83
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 3:00:00 AM,61.76
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 4:00:00 AM,61.69
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 5:00:00 AM,61.72
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 6:00:00 AM,61.65
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 7:00:00 AM,61.61
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 8:00:00 AM,61.62
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 9:00:00 AM,61.66
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 10:00:00 AM,61.72
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 11:00:00 AM,61.97
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 12:00:00 PM,62.32
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 1:00:00 PM,62.27
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 2:00:00 PM,62.4
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 3:00:00 PM,62.8
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 4:00:00 PM,62.64625
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 5:00:00 PM,62.4925
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 6:00:00 PM,62.33875
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/7/2020 7:00:00 PM,62.185
